Trial_ID,audit_rows,audit_types,audit_sources,primary_rows,pass_rows,fail_rows,descriptive_rows,nonpass_statuses,has_paper_values,audit_coverage_status
100,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
101,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
102,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
103,6,descriptive_summary_screen,manual_summary_statistics_audit.csv,3,0,0,6,,False,descriptive_summary_audit_present
104,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
105,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
106,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
107,6,descriptive_summary_screen,manual_summary_statistics_audit.csv,3,0,0,6,,False,descriptive_summary_audit_present
108,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
109,6,descriptive_summary_screen,manual_summary_statistics_audit.csv,3,0,0,6,,False,descriptive_summary_audit_present
110,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
111,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
112,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
113,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
114,4,descriptive_summary_screen,manual_summary_statistics_audit.csv,2,0,0,4,,False,descriptive_summary_audit_present
115,8,descriptive_summary_screen,manual_summary_statistics_audit.csv,4,0,0,8,,False,descriptive_summary_audit_present
116,50,descriptive_summary_screen,generated_from_cleaned_data,48,0,0,50,,False,descriptive_summary_audit_present
117,39,descriptive_summary_screen,generated_from_cleaned_data,36,0,0,39,,False,descriptive_summary_audit_present
118,75,descriptive_summary_screen,generated_from_cleaned_data,72,0,0,75,,False,descriptive_summary_audit_present
119,14,descriptive_summary_screen,generated_from_cleaned_data,12,0,0,14,,False,descriptive_summary_audit_present
120,24,descriptive_summary_screen,generated_from_cleaned_data,22,0,0,24,,False,descriptive_summary_audit_present
121,21,descriptive_summary_screen,generated_from_cleaned_data,18,0,0,21,,False,descriptive_summary_audit_present
51,24,strict_publication_reproducibility,outcome_reproducibility_audit.csv,8,24,0,0,,True,strict_or_paper_value_audit_present
52,5,strict_publication_reproducibility,outcome_reproducibility_audit.csv,3,5,0,0,,True,strict_or_paper_value_audit_present
53,8,strict_publication_reproducibility,outcome_reproducibility_audit.csv,4,8,0,0,,True,strict_or_paper_value_audit_present
54,10,strict_publication_reproducibility,outcome_reproducibility_audit.csv,4,10,0,0,,True,strict_or_paper_value_audit_present
55,6,strict_publication_reproducibility,outcome_reproducibility_audit.csv,6,6,0,0,,True,strict_or_paper_value_audit_present
56,4,strict_publication_reproducibility,outcome_reproducibility_audit.csv,2,4,0,0,,True,strict_or_paper_value_audit_present
57,3,strict_publication_reproducibility,outcome_reproducibility_audit.csv,3,3,0,0,,True,strict_or_paper_value_audit_present
58,4,strict_publication_reproducibility,outcome_reproducibility_audit.csv,2,4,0,0,,True,strict_or_paper_value_audit_present
59,4,strict_publication_reproducibility,outcome_reproducibility_audit.csv,2,4,0,0,,True,strict_or_paper_value_audit_present
60,4,strict_publication_reproducibility,outcome_reproducibility_audit.csv,3,4,0,0,,True,strict_or_paper_value_audit_present
61,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
62,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
63,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
64,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
65,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
66,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
67,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
68,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
69,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
70,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
71,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
72,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
73,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
74,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
75,1,strict_publication_reproducibility,outcome_reproducibility_audit.csv,1,1,0,0,,True,strict_or_paper_value_audit_present
