Trial_ID,outcome_variable,outcome_role,arm,statistic,paper_value,paper_precision,cleaned_value,absolute_diff,tolerance,status,paper_source,notes
51,YP_sleep_latency_7d,primary,Control,mean,1.91,0.01,1.9136363636363636,0.0036363636363636598,0.0955,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YP_sleep_latency_7d,primary,Control,sd,0.98,0.01,0.9766296404192607,0.0033703595807392794,0.049,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YP_sleep_latency_7d,primary,Sleep hygiene,mean,0.72,0.01,0.71625,0.00374999999999992,0.036,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YP_sleep_latency_7d,primary,Sleep hygiene,sd,0.15,0.01,0.15183990629230892,0.0018399062923089293,0.0075,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YP_sleep_latency_7d,primary,Lavender oil,mean,1.34,0.01,1.3444444444444446,0.004444444444444473,0.067,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YP_sleep_latency_7d,primary,Lavender oil,sd,0.4,0.01,0.39711809046904145,0.0028819095309585707,0.020000000000000004,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YP_sleep_latency_7d,primary,Sleep hygiene + lavender oil,mean,0.98,0.01,0.9844444444444445,0.004444444444444473,0.049,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YP_sleep_latency_7d,primary,Sleep hygiene + lavender oil,sd,0.45,0.01,0.4503085362035432,3.085362035432082e-4,0.022500000000000003,pass,Trial51 Table 2,"Sleep latency, minutes."
51,YS_sleep_efficiency_7d,secondary,Control,mean,87.27,0.01,87.27454545454546,0.004545454545464622,4.3635,pass,Trial51 Table 2,"Sleep efficiency, percent."
51,YS_sleep_efficiency_7d,secondary,Control,sd,5.02,0.01,5.024458903476797,0.004458903476797005,0.251,pass,Trial51 Table 2,"Sleep efficiency, percent."
51,YS_sleep_efficiency_7d,secondary,Sleep hygiene,mean,89.57,0.01,89.56875,0.0012499999999988631,4.4784999999999995,pass,Trial51 Table 2,"Sleep efficiency, percent."
51,YS_sleep_efficiency_7d,secondary,Sleep hygiene,sd,3.03,0.01,3.0268769265649733,0.003123073435026491,0.1515,pass,Trial51 Table 2,"Sleep efficiency, percent."
