Trial_ID,variable_name,variable_role,variable_type,r_class,n_rows,n_missing,n_unique_nonmissing,levels_or_range,short_explanation
108,Treatment,Treatment assignment,factor,factor,218,0,2,Placebo; TXA,Treatment: randomized assignment to placebo (control/reference) or tranexamic acid (TXA).
108,YP_any_oral_bleeding_7d,Primary outcome,binary,integer,218,0,2,0; 1,"Primary outcome: indicator for any oral post-extraction bleeding through day 7 (1=yes, 0=no)."
108,YS_oral_bleeding_count_7d,Secondary outcome,continuous,integer,218,0,9,0 to 9,Secondary outcome: number of oral post-extraction bleeding episodes through day 7.
108,YS_clinically_relevant_oral_bleeding_7d,Secondary outcome,binary,integer,218,0,2,0; 1,"Secondary outcome: indicator for any clinically relevant oral bleeding through day 7 (1=yes, 0=no)."
108,YS_clinically_relevant_oral_bleeding_count_7d,Secondary outcome,continuous,integer,218,0,3,0 to 2,Secondary outcome: number of clinically relevant oral bleeding episodes through day 7.
108,YS_early_oral_bleeding_7d,Secondary outcome,binary,integer,218,0,2,0; 1,"Secondary outcome: indicator for any early oral bleeding through day 7 (1=yes, 0=no)."
108,YS_early_oral_bleeding_count_7d,Secondary outcome,continuous,integer,218,0,6,0 to 6,Secondary outcome: number of early oral bleeding episodes through day 7.
108,YS_delayed_oral_bleeding_7d,Secondary outcome,binary,integer,218,0,2,0; 1,"Secondary outcome: indicator for any delayed oral bleeding through day 7 (1=yes, 0=no)."
108,YS_delayed_oral_bleeding_count_7d,Secondary outcome,continuous,integer,218,0,6,0 to 5,Secondary outcome: number of delayed oral bleeding episodes through day 7.
108,YS_unplanned_medical_contact_7d,Secondary outcome,binary,integer,218,0,2,0; 1,"Secondary outcome: indicator for an unplanned medical contact through day 7 (1=yes, 0=no)."
108,YS_thrombotic_event_7d,Secondary outcome,binary,integer,218,0,2,0; 1,"Safety outcome: indicator for a thrombotic event through day 7 (1=yes, 0=no)."
108,X_age_years,Baseline covariate,continuous,integer,218,0,45,25 to 93,"Baseline covariate: age, in years."
108,X_sex,Baseline covariate,binary,character,218,0,2,F; M,Baseline covariate: participant sex as recorded in the source workbook (F or M).
108,X_noac_type,Baseline covariate,factor,character,218,0,4,Apixaban; Dabigatran; Edoxaban; Rivaroxaban,Baseline covariate: non-vitamin K oral anticoagulant (NOAC) type.
108,X_alcohol_units_per_day,Baseline covariate,continuous,numeric,218,0,10,0 to 5,"Baseline covariate: alcohol consumption, in units/day."
108,X_smoking_status,Baseline covariate,factor,character,218,0,3,Active; Never; Previous,"Baseline covariate: smoking status (Active, Never, or Previous)."
108,X_chronic_heart_failure,Baseline covariate,binary,integer,218,0,2,0; 1,"Baseline covariate: chronic heart failure indicator (1=yes, 0=no)."
108,X_hypertension,Baseline covariate,binary,integer,218,0,2,0; 1,"Baseline covariate: hypertension indicator (1=yes, 0=no)."
108,X_diabetes,Baseline covariate,binary,integer,218,0,2,0; 1,"Baseline covariate: diabetes indicator (1=yes, 0=no)."
108,X_history_stroke,Baseline covariate,binary,integer,218,0,2,0; 1,"Baseline covariate: history of stroke indicator (1=yes, 0=no)."
108,X_chads_vasc_score,Baseline covariate,continuous,integer,218,0,9,0 to 8,Baseline covariate: CHA₂DS₂-VASc thromboembolic-risk score.
108,X_noac_indication,Baseline covariate,factor,character,218,0,4,Atrial fibrillation; Deep vein thrombosis; Other/unknown; Pulmonary embolism,Baseline covariate: clinical indication for NOAC treatment.
108,X_time_last_noac_to_extraction_days,Baseline covariate,time-to-event/continuous time,numeric,218,0,158,0.489583 to 11.5938,"Baseline procedural covariate: time from the last NOAC dose to dental extraction, in days."
108,X_number_extracted_teeth,Baseline covariate,continuous,integer,218,0,11,1 to 19,Baseline procedural covariate: number of teeth extracted.
