Trial_ID,variable_name,variable_role,variable_type,r_class,n_rows,n_missing,n_unique_nonmissing,levels_or_range,short_explanation
93,Treatment,Treatment assignment,factor,factor,1140,0,3,Control; Reminder only; Reminder plus information,Treatment: randomized treatment assignment with cleaned-data arms: Control; Reminder only; Reminder plus information. Publication-designated control/reference: Control.
93,X_patient_age_reported,Baseline covariate,continuous,numeric,1140,51,81,-111 to 83,Baseline covariate: Patient age reported.
93,X_patient_age_proxy,Baseline covariate,continuous,numeric,1140,749,39,-111 to 89,Baseline covariate: Patient age proxy.
93,X_household_head_male,Baseline covariate,continuous,numeric,1140,5,3,-333 to 2,Baseline covariate: Household head male.
93,X_household_head_education,Baseline covariate,continuous,numeric,1140,90,13,-111 to 14,Baseline covariate: Household head education.
93,X_household_rooms,Baseline covariate,continuous,numeric,1140,58,25,-111 to 30,Baseline covariate: Household rooms.
93,X_sleep_under_net,Baseline covariate,continuous,numeric,1140,144,21,-111 to 32,Baseline covariate: Sleep under net.
93,X_mobile_phones,Baseline covariate,continuous,numeric,1140,121,26,-111 to 30,Baseline covariate: Mobile phones.
93,X_air_conditioner,Baseline covariate,continuous,numeric,1140,6,6,-111 to 6,Baseline covariate: Air conditioner.
93,X_drug_code,Baseline covariate,continuous,numeric,1140,19,25,-111 to 32,Baseline covariate: Drug code.
93,X_vendor_code,Baseline covariate,continuous,numeric,1140,1,70,2002 to 2211,Baseline covariate: Vendor code.
93,YP_adhered_self_report,Primary outcome,binary,numeric,1140,30,2,0; 1,Primary outcome: Adhered self report. Publication-defined endpoint context: Self-reported completion of ACT antimalarial treatment.
93,YS_still_sick_followup,Secondary outcome,binary,numeric,1140,17,2,0; 1,"Secondary outcome: Still sick, measured at follow-up."
93,YS_pills_remaining_observed,Secondary outcome,binary,numeric,1140,464,2,0; 1,Secondary outcome: Pills remaining observed.
93,YS_act_stock_in_household,Secondary outcome,binary,numeric,1140,196,2,0; 1,Secondary outcome: Artemisinin-based combination therapy stock in household.
