candidate_id,metadata_url,local_path,status,error
RCTC-02120,https://borealisdata.ca/api/datasets/:persistentId/?persistentId=doi:10.5683/sp3/a4jg2r,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-02120_dataverse.json,0,
RCTC-02392,https://dataverse.nl/api/datasets/:persistentId/?persistentId=doi:10.34894/g3koyt,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-02392_dataverse.json,0,
RCTC-01905,https://datadryad.org/api/v2/datasets/doi%3A10.5061%2Fdryad.zw3r2286c,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01905_dryad.json,0,
RCTC-01905,https://datadryad.org/api/v2/versions/110157,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01905_dryad_version.json,0,
RCTC-01905,https://datadryad.org/api/v2/versions/110157/files,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01905_dryad_files.json,0,
RCTC-01479,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/dvn/ntn7ky,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01479_dataverse.json,0,
RCTC-01467,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/dvn/ppqksw,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01467_dataverse.json,0,
RCTC-05031,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/dvn/97hyq5,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-05031_dataverse.json,0,
RCTC-01535,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/dvn/cf2lgp,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01535_dataverse.json,0,
RCTC-01411,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/dvn/xgdwg5,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01411_dataverse.json,0,
RCTC-01501,https://dataverse.harvard.edu/api/datasets/:persistentId/?persistentId=doi:10.7910/dvn/jo6og9,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01501_dataverse.json,0,
RCTC-01824,https://data.mendeley.com/api/datasets/psxdxfw37t/files,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01824_mendeley_files.json,0,
RCTC-01034,https://researchdata.bath.ac.uk/id/eprint/720,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01034_bath.html,0,
RCTC-00485,https://researchdata.bath.ac.uk/id/eprint/1245,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-00485_bath.html,0,
RCTC-01035,https://researchdata.bath.ac.uk/id/eprint/719,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01035_bath.html,0,
RCTC-01036,https://researchdata.bath.ac.uk/id/eprint/547,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-01036_bath.html,0,
RCTC-03815,https://zenodo.org/api/records/7428377,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-03815_zenodo.json,0,
RCTC-02158,https://zenodo.org/api/records/17518401,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-02158_zenodo.json,0,
RCTC-04054,https://zenodo.org/api/records/5645183,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-04054_zenodo.json,0,
RCTC-05110,https://zenodo.org/api/records/17715051,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-05110_zenodo.json,0,
RCTC-05268,https://zenodo.org/api/records/18201511,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-05268_zenodo.json,0,
RCTC-04273,https://data.mendeley.com/api/datasets/bx2gvkty4c/files,rct_expansion/provenance/predownload_verification_2026_06_09/metadata/RCTC-04273_mendeley_files.json,0,
